id,white_rating,black_rating,diff,winner,victory_status,num_moves,moves
ZdoDhyEV,967,1491,524,white,mate,49,e4 e5 Nf3 Nc6 Nc3 Bc5 d4 Bxd4 Nxe5 Bxe5 Bc4 Qf6 Qd5 Bd4 Be3 Bxe3 fxe3 Nh6 e5 Qf5 e4 Qf4 Rf1 Qxh2 Rxf7 Nxf7 Qxf7+ Kd8 Qxg7 Qg1+ Kd2 Qd4+ Kc1 Re8 Qf7 Qg1+ Kd2 Qxa1 Qf2 b6 Qf6+ Ne7 Nd5 Bb7 Bb5 c6 Qd6 cxb5 Qc7#
jhHWJ8FZ,1329,1876,547,white,mate,85,d4 d5 Bf4 e6 Nf3 Nf6 e3 h6 Nbd2 Nc6 a3 g5 Bg3 Bd6 Bb5 Bxg3 Bxc6+ bxc6 hxg3 O-O Ne5 Qd6 c3 Ba6 b3 Nd7 Nxd7 Qxd7 Qh5 Bd3 Qxh6 f6 f3 Qh7 Qxh7+ Bxh7 e4 Rfe8 Rc1 dxe4 Nxe4 Kg7 Kd2 f5 Nxg5 Rh8 Nxe6+ Kg8 Rh6 Re8 Nf4 Kf7 Rch1 Re6 Rxh7+ Rxh7 Rxh7+ Kf6 Nxe6 Kxe6 Rxc7 Kd5 Rxa7 c5 Ra5 Kc6 Rxc5+ Kb6 b4 f4 a4 fxg3 a5+ Ka6 d5 Ka7 d6 Ka6 d7 Ka7 d8=Q Ka6 Qc8+ Ka7 Rc7#
mX6zSNcT,1149,1669,520,white,mate,55,b4 d5 Bb2 Bf5 Nf3 e6 g3 h6 a3 a6 Bg2 Nf6 c3 Bd6 Nd4 Bh7 O-O e5 Nf3 Nbd7 c4 dxc4 Nc3 b5 d4 O-O dxe5 Nxe5 Nxe5 Bxe5 Bxa8 Qxa8 f4 Bd6 e3 Rd8 Qf3 Qc8 Nd5 Nxd5 Qxd5 Bxb4 Qe5 Bf8 Rfd1 Bc2 Rxd8 Qxd8 Qc3 Bb3 a4 Bxa4 Ra3 Bxa3 Qxg7#
6IrjVPc0,1238,1811,573,white,mate,53,e4 c5 Nf3 d6 d4 cxd4 Nxd4 e5 Nf3 Nf6 Nc3 Nc6 Bb5 a6 Bxc6+ bxc6 Bd2 Be6 Qe2 Be7 h4 O-O O-O-O Qc7 Ng5 Bd7 a4 a5 Nf3 h6 h5 d5 exd5 cxd5 Nxe5 Bc6 Nxc6 Qxc6 Qxe7 d4 Nb5 Qxg2 Nxd4 Qxf2 Be3 Qg3 Rdg1 Qb8 Qxf6 g6 Nf5 Kh7 Qg7#
6IrjVPc0,1238,1811,573,white,mate,53,e4 c5 Nf3 d6 d4 cxd4 Nxd4 e5 Nf3 Nf6 Nc3 Nc6 Bb5 a6 Bxc6+ bxc6 Bd2 Be6 Qe2 Be7 h4 O-O O-O-O Qc7 Ng5 Bd7 a4 a5 Nf3 h6 h5 d5 exd5 cxd5 Nxe5 Bc6 Nxc6 Qxc6 Qxe7 d4 Nb5 Qxg2 Nxd4 Qxf2 Be3 Qg3 Rdg1 Qb8 Qxf6 g6 Nf5 Kh7 Qg7#
aB0B2wMt,1015,1818,803,white,mate,115,e4 c5 Nc3 e6 f4 a6 a4 b6 Bc4 Bb7 d3 Nc6 Nf3 Qc7 O-O Nge7 Qe1 d6 Qg3 Ng6 h3 Be7 f5 exf5 exf5 Nge5 Qxg7 Rf8 Qxh7 Nxc4 dxc4 Nb4 Nd5 Bxd5 cxd5 Bf6 Bg5 Rh8 Rfe1+ Kd7 Qxf7+ Kc8 Qxc7+ Kxc7 Bxf6 Rhf8 Bg7 Rxf5 Re7+ Kd8 Rae1 Nxd5 Re8+ Kd7 Rxa8 Nb4 Ra7+ Kc6 c3 Nd3 Ree7 Nxb2 Rac7+ Kd5 Rf7 Rxf7 Rxf7 Nxa4 Rf5+ Kc4 Rf4+ Kb5 Nd2 d5 Rf5 Kc6 Rf6+ Kd7 Rf7+ Ke6 Ra7 a5 Nb3 Kf5 Nxa5 bxa5 Rxa5 d4 cxd4 Ke4 Rxa4 cxd4 Rxd4+ Kf5 Kf2 Kg6 Kf3 Kxg7 Kf4 Kg6 Rd5 Kh6 Rg5 Kh7 Kf5 Kh6 Kf6 Kh7 Rg6 Kh8 Kf7 Kh7 Re6 Kh8 Rh6#
itLTZ0AT,928,1442,514,white,mate,101,e4 e6 d4 d5 exd5 exd5 Nc3 Nf6 Bf4 a6 Nf3 c5 dxc5 Bxc5 Bd3 Nc6 O-O O-O h3 Nd4 Nxd4 Bxd4 Bxh7+ Kxh7 Qxd4 Kg8 Bg5 Be6 Bxf6 Qxf6 Qxf6 gxf6 Rad1 Rfd8 Rd3 b5 Rfd1 Rac8 Nxd5 Bxd5 Rxd5 Rxd5 Rxd5 Rxc2 Rd6 Rxb2 Rxa6 Kg7 g3 f5 Kg2 f6 Kf3 Kg6 Ra3 Kg5 Rb3 Rxa2 Rxb5 Ra3+ Kg2 Rc3 h4+ Kg4 f3+ Rxf3 Rb4+ Rf4 Rxf4+ Kh5 Rxf5+ Kg6 Rf4 Kh5 Rxf6 Kg4 h5 Kxh5 Rf4 Kg5 Kh3 Kh5 g4+ Kg5 Rf5+ Kg6 Kh4 Kh6 g5+ Kg6 Rf6+ Kg7 Kh5 Kh7 g6+ Kg7 Rf7+ Kg8 Kh6 Kh8 Rf8#
rqcPeu3M,1295,1821,526,white,mate,25,e4 e5 Nf3 Nc6 d3 Bb4+ c3 Bc5 Ng5 Nf6 Be2 O-O d4 exd4 cxd4 Bxd4 Qc2 d6 O-O Bg4 Bxg4 Nxg4 e5 dxe5 Qxh7#
DaZK321M,1213,1813,600,white,mate,97,d4 e6 Nf3 d5 Bg5 f6 Bh4 g5 Bg3 Nc6 e3 Bd6 Bb5 a6 Ba4 Ne7 Nc3 b5 Bb3 O-O O-O Bb7 e4 f5 Bxd6 Qxd6 exd5 Nxd5 Nxg5 Qe7 Nxd5 Qxg5 Nxc7 Nxd4 f3 Qe3+ Kh1 Rad8 Re1 Qh6 Qc1 Qxc1 Raxc1 Kf7 Bxe6+ Nxe6 Nxe6 Rd2 Nxf8 Kxf8 Red1 Re2 Rd8+ Ke7 Rcd1 Bc6 R8d2 Rxd2 Rxd2 Ke6 Re2+ Kd5 Rd2+ Kc4 Kg1 a5 Rd6 Bd5 Ra6 a4 b3+ axb3 cxb3+ Kc3 Ra5 Kb4 Ra7 Kc3 Kf2 Kb2 Ke3 Bc6 Kd4 Be8 Kc5 Bg6 Kxb5 h5 Rg7 Be8+ Kc4 Kxa2 b4 Ka3 b5 Ka4 Ra7#
rqcPeu3M,1295,1821,526,white,mate,25,e4 e5 Nf3 Nc6 d3 Bb4+ c3 Bc5 Ng5 Nf6 Be2 O-O d4 exd4 cxd4 Bxd4 Qc2 d6 O-O Bg4 Bxg4 Nxg4 e5 dxe5 Qxh7#
VH1H3hRX,1506,2117,611,white,mate,127,e4 d6 d4 Nf6 Nc3 g6 e5 dxe5 dxe5 Qxd1+ Nxd1 Ng4 Bf4 e6 h3 Nh6 Nc3 c6 O-O-O Be7 Bxh6 g5 Nf3 Nd7 Bxg5 Bxg5+ Nxg5 Nxe5 Be2 h6 Nge4 f5 Nd6+ Ke7 Bh5 b5 Rhe1 Kf6 Rxe5 Kxe5 Nf7+ Kf6 Nxh8 e5 Rd8 Bb7 Rxa8 Bxa8 h4 a5 Nf7 e4 Nd6 b4 Ne2 Ke5 Nf7+ Kf6 Nxh6 c5 Nf7 Bd5 Nd6 a4 b3 axb3 axb3 Ke5 Nc4+ Kf6 Nf4 Bg8 Be2 Bh7 h5 Kg5 g3 Bg8 Ne5 Kf6 Nd7+ Ke7 Nxc5 Kd6 Nxe4+ fxe4 h6 Ke5 Kd2 Kd4 Bc4 Bh7 Bf7 e3+ fxe3+ Ke4 Bg6+ Bxg6 Nxg6 Kf3 h7 Kxg3 h8=Q Kf3 Qe8 Kg4 Ne5+ Kf5 Nf3 Kg4 Qf7 Kg3 Qf4+ Kg2 Nh4+ Kh3 Ng6 Kg2 Qg4+ Kf2 Nf4 Kf1 Qh4 Kg1 Qg4+ Kf1 Qg2#
IFanZ6Do,1264,1792,528,white,mate,103,d3 d5 e3 e5 Nd2 f5 Rb1 c5 b3 Nf6 Ba3 Be7 Bb2 Nc6 Ndf3 Qc7 Qd2 O-O Qe2 d4 e4 fxe4 Ng5 exd3 Qxd3 g6 Qc4+ Kg7 Ne6+ Bxe6 Qxe6 Rae8 Qc4 e4 Ne2 Qa5+ c3 dxc3 Bxc3 Qxa2 Ra1 Qc2 Rc1 Qd3 Bxf6+ Bxf6 Qxc5 Qxb3 Nc3 Qb4 Qe3 Qb2 Bb5 Rd8 O-O Rd3 Qxa7 Rxc3 Qxb7+ Kh6 Rxc3 Qxc3 Bxc6 Bh4 g3 Bg5 Bxe4 Qd2 f3 Be3+ Kh1 Qe2 Qb1 Rf6 Re1 Qf2 Rxe3 Qxe3 Qb5 Rb6 Qe8 Qe1+ Kg2 Rb2+ Kh3 Qf1+ Kh4 Rxh2+ Kg4 Qh3+ Kf4 g5+ Ke3 Qxg3 Qe6+ Kh5 Qf7+ Kh6 Qf6+ Kh5 Qf7+ Kh6 Qxh7#
